Biceps_FaseInicialFilter,Biceps_FaseFinalFilter
0,-0.000138453
0.000138453,-0.000682715
0.000544263,-0.001026844
6.72E-05,-0.000165672
-0.002503508,0.00029986
-0.003607744,-0.000819356
0.000514975,0.000442845
0.00421563,0.004801186
0.002784,0.005591077
0.002047932,0.001300143
0.002647791,-0.002434307
-0.001162893,-0.003427309
-0.004351364,-0.00350209
-0.000259649,-0.002461091
0.003734735,0.000324084
-0.000550379,0.001003086
-0.005682522,-0.001442107
-0.002531432,-0.000875285
0.000386504,0.001205823
-0.00258469,-0.001960281
6.39E-05,-0.00447744
0.004860227,-0.000997087
-0.000643646,0.001145944
-0.002848859,0.000837118
0.005683748,0.002161465
0.005327034,0.00180673
-0.004468543,0.002052859
-0.006053848,0.005983133
-0.002646207,0.004931259
-0.002315909,0.000529942
-0.000454725,0.000657949
0.003310713,-0.001716428
0.00626579,-0.005304963
0.007132516,-0.002199597
0.004570628,-0.00010439
0.00308853,-0.000413919
0.001097893,0.001601919
-0.006482892,0.001852734
-0.009564512,0.001737223
-0.003172507,0.001019465
0.001496923,-0.002458678
0.00038113,-0.001887027
-0.000300031,-0.001258165
0.002668335,-0.00487219
0.003365205,-0.003736903
-0.002227795,-0.002128547
-0.004550896,-0.003219134
0.000467716,0.001720877
0.003797673,0.004230169
0.001940858,0.00118687
-0.002383892,0.004161586
-0.002873534,0.003492135
0.001016116,-0.004696154
-0.002503703,-0.003732111
-0.006682536,0.000566054
-0.000115126,-0.000683875
0.00053079,0.003252596
-0.003378524,0.006963532
0.004308731,0.001916954
0.007789294,-0.000917897
0.001429155,-0.001382685
-0.000442821,-0.004308502
0.000207409,-0.001315317
0.003721795,0.003822754
0.006294124,0.00143234
-0.003170713,-0.000213396
-0.008954352,0.002422455
-0.0005977,0.001518015
0.005302275,0.001153505
0.003740141,0.003751724
-0.000874994,0.000713583
-0.004550287,-0.004215088
-0.00176478,-0.004664192
0.00144912,-0.005270847
0.0035116,-0.004023897
0.007186726,-0.000419885
0.00278722,-0.000707708
-0.004770556,0.000314895
-0.003978339,0.004041057
-0.004576892,0.002453434
-0.008499531,-0.001737878
-0.007315006,-0.004578067
-0.003815943,-0.004992806
0.00156425,-0.000689031
0.006435302,0.002259644
0.004588765,0.002619188
0.003351573,0.005049792
0.004221741,0.003584325
0.000556754,-0.001367304
-0.000510586,-0.001706673
0.001512454,-0.000591755
-0.000855155,0.000965493
-0.001567498,0.005347849
0.000241429,0.004391411
-0.001243713,-0.001403535
-0.002178894,-0.000889337
-0.001739313,0.000996924
-0.000739761,-0.002715361
0.003419515,-0.002973531
0.004902209,0.002212485
0.002033634,0.003327739
0.002726606,-0.000198788
0.002018676,-0.001458083
-0.005839514,-0.001041453
-0.007325081,-0.004693575
0.000371476,-0.007890701
0.00264142,-0.002333899
0.002791331,0.004195649
0.006862641,0.001153528
0.002757171,-0.002499385
-0.00581177,0.001070353
-0.004208127,0.001996704
-0.001995655,-0.000348007
-0.007286429,0.003143574
-0.007962536,0.005737924
-0.00203323,0.001502275
0.002895332,-0.000426435
0.006150144,0.001930751
0.00567681,0.001115907
0.00274685,-0.002495835
0.00126249,-0.003293048
-0.002913704,-0.002840305
-0.004923565,-0.005071269
0.001406022,-0.00428279
0.003739844,0.003489481
-6.67E-05,0.007665099
0.000403453,0.00252625
0.001596963,-0.001627198
0.000621489,-0.000332025
0.00181687,-0.001034481
0.00277928,-0.004777711
0.001192282,-0.004120852
0.001080222,0.001801156
0.00388457,0.002688494
0.0020707,-0.003195727
-0.005533144,-0.002226008
-0.005884453,0.004402929
-0.000970348,0.004098618
-0.003561734,0.002930592
-0.005153324,0.005968357
-0.001296826,0.004773106
-0.002678864,-0.000445424
-0.002532512,-0.004478097
0.003625018,-0.00600126
0.002760455,-0.003591844
0.000310356,0.001026902
0.005668642,0.001414089
0.003807216,-0.003252752
-0.005264799,-0.00098744
-0.003119266,0.007427676
0.002550269,0.00383688
0.001546892,-0.003273913
0.003251085,0.00124027
0.005680942,0.001644393
0.003516078,-0.003553219
-0.000468846,-0.00128623
-0.007171454,-0.002025031
-0.008957761,-0.007394094
-0.001181735,-0.006194686
0.002636903,-0.002408815
-0.00056123,0.001222384
-0.000612883,0.002552068
0.003009591,-0.001246525
0.003793367,-0.000428217
0.000341385,0.003945621
-0.000476054,0.002859873
0.001870108,0.001869993
0.000360808,0.002632161
-0.000109412,0.002517294
0.001720119,0.004754154
-0.001247473,0.00512041
-0.001378977,0.001862357
0.001280984,0.002379553
-0.002074291,0.002684057
-0.002345818,-0.003377702
-0.000640089,-0.0076375
-0.005035861,-0.00512749
-0.003846684,-0.000208281
0.002338122,0.000831078
0.002734597,-0.004959612
0.00203388,-0.005954844
0.000654011,0.003434373
-0.002078236,0.00769141
-0.0005035,0.004483223
0.00134512,0.003516522
0.002228423,-0.000651252
0.00407151,-0.008443905
0.001493279,-0.007466604
-0.001707782,-4.12E-06
-0.002404008,0.001279523
-0.004924907,-0.00267901
-0.002815893,-0.003128561
0.00361829,-0.000448096
0.004781044,0.00058176
0.005503947,0.000151995
0.007415963,0.000122799
0.001453287,0.00229034
-0.006455541,0.005656887
-0.005090145,0.004713342
-0.002353328,0.000735119
-0.004810847,0.000155381
-0.002910337,0.001944975
0.001487591,0.003055936
0.000227887,0.002617173
-0.000601766,-0.00063783
-0.000918334,-0.003513895
-0.002816033,-0.002377305
0.002247202,-0.000949198
0.008444157,-0.002261546
0.00361537,-0.001336255
-0.003765558,0.003281053
-0.004208602,0.003294953
-0.001609632,-0.001269463
0.002253528,-0.001491313
0.004676219,-0.001617733
0.000719893,-0.00616264
-0.002184146,-0.004475563
0.000162187,0.001606342
-0.000156379,-0.000155605
-0.001822816,-0.002285019
-0.001527427,0.001981175
-0.001726434,0.004164304
0.001131771,0.003185202
0.005353444,0.000904479
0.002986347,-0.001538722
-0.002009217,0.001151599
-0.002329856,0.003681309
-0.001436143,0.001124123
-0.001660548,-0.000534748
0.001336651,-0.001224951
0.002964672,-0.001252676
-0.001321571,0.001268727
-0.001839577,0.000680059
0.001207697,-0.003505642
-0.00187961,-0.003768724
-0.005457201,-0.000165391
-0.002438696,-0.000563334
0.004144946,-0.004085451
0.006553578,-0.001107326
-0.000301506,0.003745057
-0.003194934,0.002000996
0.002675371,0.001878195
-0.000202578,0.004138357
-0.00384037,0.002659323
0.003298796,0.003970639
0.002231655,0.005822004
-0.002733064,0.000891375
0.002148197,-0.003997853
0.000406769,-0.006353093
-0.003832965,-0.00783056
0.004499848,-0.005279309
0.007379753,-0.003450724
-0.002090145,-0.004384727
-0.0067818,-0.000911523
-0.003880784,0.002806573
-0.000542557,0.002589093
-0.001586403,0.006752314
-0.005179762,0.00933911
-0.000516183,0.001509387
0.006707963,-0.002045012
0.002106118,0.003214174
-0.000349332,0.00419048
0.007003208,0.000379305
0.004437302,-0.005101554
-0.003481453,-0.007635922
-0.00161041,-0.001646929
-0.001105979,0.002622786
-0.00575577,0.001872744
-0.005281149,0.003013886
0.001054582,-0.0001391
0.00712349,-0.005933666
0.006168372,-0.004597472
0.000775492,-0.000847023
-0.001561615,0.000568899
-0.0022532,0.00047068
-0.001939237,-0.00064283
-0.001153148,-0.000580581
-0.003448985,-0.001740767
-0.003706882,-0.002745247
4.32E-05,0.00296332
0.000538519,0.007453884
-0.001463507,0.003639981
-0.001198676,0.000688522
0.000474323,-8.89E-05
0.001992219,-0.003178382
0.003092897,-0.003416246
0.00348157,-0.001118574
0.001451877,2.93E-05
-0.001160833,0.003556287
0.000975686,0.005613634
0.003592973,0.00077661
0.001327315,-0.0020856
-0.000769441,0.001512976
-0.001758106,0.002708688
-0.001330251,-0.000125793
0.003183612,1.52E-05
0.001868944,0.002947075
-0.003691806,0.001531656
0.000850505,-0.004648934
0.003021379,-0.006525365
-0.003120244,-0.002678495
-0.000187343,-0.001085237
0.001189221,-0.001914225
-0.006800661,-0.003717547
-0.004189148,-0.008009884
0.00148663,-0.007417023
-0.003784271,0.000679376
-0.005336402,0.006906464
0.000201991,0.007795645
0.002045504,0.005225922
0.00080932,0.002780346
0.000503118,0.00321297
0.001646841,0.001336569
0.005211709,-0.002269004
0.008499077,-0.001949512
0.003967131,-0.000153088
-0.004773507,0.002286742
-0.005652886,0.00328966
-0.001685231,-0.001137884
-0.000136714,-0.002895471
0.002256352,0.00212203
0.003517294,0.004949357
-0.000306333,0.003022774
-0.001876615,0.000961513
0.002008711,0.001761708
0.003837879,0.001965523
0.001826575,-0.005422452
-0.000810609,-0.012109027
-0.00361799,-0.008412226
-0.004217803,-0.004339626
-0.002872035,-0.002532998
-0.003007228,0.001524888
-0.000912472,0.002603428
0.003501018,0.004562672
0.001950509,0.007258771
-0.002352296,0.002318965
