Cervical_FaseInicialFilter,Cervical_FaseFinalFilter
-0.000138453,-0.001107623
-0.000821168,-0.005738629
-0.001571106,-0.009164821
-0.000786706,0.000745876
7.25E-05,0.015942608
-0.001318987,0.0126754
-0.000319458,0.000674282
0.004110047,0.002674645
0.00480633,0.007012551
0.005039984,0.006995539
0.006605426,0.010857603
0.001236548,0.002365602
-0.000339428,-0.021182684
0.005100752,-0.034372442
-0.005293528,-0.039612424
-0.017163147,-0.044048602
-0.005709649,-0.024116004
-0.001497267,0.016899202
-0.015043139,0.044004905
-0.01124953,0.052639921
0.001740877,0.052917639
-0.001258865,0.040607892
-0.001744594,0.018402331
0.009659659,-0.007995744
0.013688979,-0.034688807
0.008187792,-0.049409698
0.003820326,-0.042332757
0.004171424,-0.015623074
0.01122295,0.007575041
0.017979191,0.007622537
0.012882584,0.00408804
0.002618515,0.0093785
-0.003369834,0.01165186
-0.0082637,0.016472657
-0.007694593,0.019701651
-0.001421119,0.008026885
-0.004912196,-0.003547378
-0.014224054,-0.00549352
-0.012565332,-0.004005784
-0.006268152,-0.004394454
-0.006357439,-0.011819179
-0.008428759,-0.012982955
-0.007832376,-0.006617856
-0.00718804,-0.013636947
-0.009635336,-0.022303154
-0.009776143,-0.021822442
-0.000332231,-0.022142199
0.011534466,-0.010184274
0.016141278,0.011527304
0.015548957,0.024083019
0.013499426,0.033951682
0.011974137,0.035366906
0.014190079,0.018268712
0.020298283,0.002009766
0.02070044,-0.002140001
0.004537209,-0.000655512
-0.01492792,0.006135636
-0.016254929,0.01725524
-0.011751709,0.02584529
-0.020864776,0.02637843
-0.026652728,0.011768141
-0.0111785,-0.010587587
0.006225501,-0.009522093
0.006171889,0.009163234
0.003235454,-0.000287672
0.010599547,-0.034783339
0.013153474,-0.058597777
0.004538131,-0.062413324
-0.000450532,-0.05139345
-0.000501473,-0.042997344
1.46E-05,-0.035092308
0.004072563,-0.000888721
0.001690295,0.035113768
-0.006201079,0.035190441
-0.003305133,0.023643273
-0.004514447,0.030319721
-0.015340728,0.048537862
-0.008330207,0.049370604
0.000125683,0.010206229
-0.010708004,-0.027241628
-0.007506973,-0.005811155
0.006821817,0.03930697
0.00240832,0.052101092
-0.00036173,0.044311288
0.005092876,0.020673699
0.004186545,-0.020707401
0.01362292,-0.038545541
0.024803542,-0.035943977
0.015941463,-0.047814039
0.010476833,-0.04798821
0.013907475,-0.027151187
0.005722176,-0.014090158
-0.007626323,-0.004452325
-0.016898637,-0.005323459
-0.014290168,-0.018550809
-0.001352256,-0.001787757
-0.005846216,0.029527109
-0.019220082,0.024370509
-0.015443995,0.007904047
-0.014016318,0.00899176
-0.017401691,0.011127576
-0.009290249,0.017471958
-0.00164663,0.019823403
0.01237574,0.000862859
0.033795909,0.000831724
0.031858486,0.028412479
0.018248147,0.026027
0.011470332,-0.004416145
-0.009416618,-0.026641077
-0.035305574,-0.040663289
-0.039214116,-0.034123693
-0.024467154,-0.012878071
-0.002735495,-0.013991285
0.010575534,-0.017810554
0.009194409,0.006194154
0.00788895,0.026396945
0.015510922,0.020343169
0.037560433,0.009698795
0.064754032,0.010450098
0.058515641,0.011894232
0.016339059,-0.001221398
-0.021579017,-0.017975209
-0.043220331,-0.013974055
-0.050138526,0.008984094
-0.04011171,0.021755534
-0.032798245,0.009805013
-0.029586895,-0.002035619
-0.010861254,-0.000137759
0.009364837,-0.002074661
0.014432129,-0.001375164
0.010415984,0.006013407
