SpinalErector_FaseInicialFilter,SpinalErector_FaseFinalFilter
-0.000553811,0.000138453
-0.002453956,0.000682715
-0.002465038,0.000888391
0.0037256,-0.000655496
0.008086572,-0.002147872
0.001999767,-0.000778969
-0.003602625,0.000583741
-0.002792501,-0.0004249
-0.002832462,-0.000555843
-0.000175968,0.000166176
0.001453068,-0.000809751
-0.004038634,-0.001671829
-0.001703649,0.000972688
0.004529243,0.005441948
0.000893386,0.003841999
0.000255331,-0.000415241
0.001204147,0.003666262
-0.004658669,0.004674658
-0.003103356,-0.004503311
0.003136755,-0.005815705
0.003302825,-0.001243343
0.003628027,-0.002378564
0.001797008,-0.001088537
-0.001491066,-0.000307955
0.001519286,-0.004531889
0.000753639,-0.003711046
-0.005471002,-0.001610011
-0.004307147,-0.002095057
-0.000720618,0.002109235
-0.001366675,0.005013797
-0.000176824,0.002319138
0.002301592,0.001985576
0.001451735,0.001645114
-0.000830539,-0.000605965
-0.001531334,0.002038754
-0.001177895,0.003059446
-0.000324054,-0.000839859
0.001725711,0.001706777
0.002923188,0.005646815
0.002875509,0.002081527
0.004378043,-0.001278456
0.004304145,-0.001361428
0.00021272,7.83E-05
-0.001483079,0.001171297
-0.000805294,-0.002018444
-0.00315638,-0.004633952
-0.002400161,-0.004379041
0.001946524,-0.005071766
0.000870824,-0.0021973
0.001048403,0.00301857
0.003767586,0.001754436
-0.002412657,-0.003887454
-0.007011959,-0.006528111
-0.003388552,-0.002709799
-0.005080478,0.001915514
-0.006890123,0.000163824
-0.002781364,0.002688532
-0.002465705,0.011497394
-0.001097648,0.007098389
0.004679807,-0.003440988
0.00566143,-0.000962414
0.004377621,0.00140035
0.00314076,-0.004294949
-0.000202835,-0.003739987
0.000144975,0.00255948
0.001653725,0.004450481
0.000312508,0.002006277
0.002717731,-0.001024635
0.004891774,-0.001666103
0.002921372,0.000798655
0.003577059,0.003116276
0.003704045,0.001634841
0.001635227,-0.003592879
-0.000362846,-0.00665686
-0.004711613,-0.003204478
-0.004052208,0.001949144
-0.000832055,0.00399011
-0.00395837,0.002780007
-0.002758313,-0.001520186
0.00037791,-0.00252119
-0.001792242,0.002354338
0.00053152,0.000372843
-0.000793332,-0.006163091
-0.007286765,-0.001522172
-0.002425314,0.00259896
0.001860047,-0.003754317
-0.00216473,-0.002891994
-0.002527296,0.00363474
-0.004764975,0.002552014
-0.005483255,0.002869588
0.002935757,0.003433403
0.004459627,-0.003161379
0.002095069,-0.001969975
0.008491835,0.00514842
0.008048537,0.000863364
-0.000790009,-0.00278053
-0.000576197,0.001096268
0.004891976,-0.002168011
0.006497584,-0.005047
0.004280409,-6.62E-05
-0.000472098,-0.000191858
-0.002364058,-0.001416369
-0.000916213,0.003290015
-0.000940242,0.004460949
-0.001914255,0.002879664
-0.003507709,0.002051906
-0.005565928,-0.001493964
-0.003958847,-0.00287844
0.001445533,0.000269147
0.002789058,0.004636091
-0.002202374,0.00723847
-0.003479912,0.00024077
-0.000658897,-0.009381195
-0.003389329,-0.006129114
-0.006372567,-0.000194624
-0.003289097,-0.002036567
0.000114706,-0.002787186
0.002228011,-0.001974699
0.001644092,-0.001706755
-0.000165925,0.001492721
0.005077065,0.003058241
0.009365295,0.001066758
0.00461229,-0.000828787
0.001700579,-0.000622607
0.001233921,0.002845772
-0.00031086,0.001746109
0.002008948,-0.003522751
0.001306812,0.000553055
-0.003141505,0.00552057
-0.000695257,0.00285486
0.002964636,0.003985182
0.002101427,0.003644081
-0.000808662,-0.000719477
-0.006811272,0.001161145
-0.008205419,-0.001717776
-0.002742031,-0.007736686
-0.00193593,-0.002105833
-0.003304565,0.001001601
-0.001255893,-0.001507296
-0.001244538,-0.000313504
0.000524227,-0.005326458
0.007889556,-0.006382094
0.008740188,0.003966985
-0.00060965,0.003060666
-0.003874628,-0.001746487
0.003183991,0.001812902
0.003849682,-0.002349131
-0.002129108,-0.004232967
-0.000601882,0.003981026
0.00255437,0.003451364
0.000330553,0.002025931
-0.000699431,0.005721555
-0.003108708,0.001836834
-0.00832441,0.001492136
-0.009551415,0.005172286
-0.005902417,-0.002120313
0.002782731,-0.006318528
0.008112179,-0.001857738
0.002189141,-0.002435387
0.000339129,-0.00115213
0.00561979,0.005402883
0.004933762,0.004764963
0.004948282,-0.001709961
0.006185358,-0.003345811
-8.84E-05,0.000685984
-0.004282888,0.000873038
-0.001890321,-0.004718258
7.36E-05,-0.005016541
-0.001338535,-0.001784212
-0.003305728,-0.003818803
0.003600703,-0.002367402
0.010242175,0.003384962
-0.000714644,0.001929922
-0.009745142,0.002105497
-0.00153236,0.006625988
0.001890784,-0.000461958
-0.004745682,-0.006414319
-0.005843323,0.002897529
-0.001118662,0.003459696
0.002714507,-0.006334755
0.002801592,-0.001505565
-0.000476651,0.006583789
-0.004527242,0.003121086
-0.006340578,0.001343025
-0.002759083,0.001338903
8.40E-05,-0.001352467
-0.002244647,0.000347285
0.000874491,0.001686828
0.006599747,-0.000578706
0.000954052,0.000309756
-0.00679949,0.001117597
-0.005020339,-0.002622636
-0.002690127,-0.003975238
-0.004551038,-9.15E-05
-0.003362705,-0.000523992
0.00175478,-0.003172925
0.006101526,0.001618682
0.009777413,0.002343613
0.013209252,-0.00256189
0.014622228,0.001201088
0.013727003,0.00264524
0.008932706,-0.002584061
0.000802025,-0.000790174
-0.004458605,0.000160712
-0.002088132,-0.001785014
0.005681863,0.002566055
0.008656342,0.002669205
0.003141457,-0.002366991
-0.001309142,-0.003151744
-0.00506984,-0.004810288
-0.013276086,-0.004450123
-0.016563669,0.000743434
-0.01427577,0.001333686
-0.016273411,0.00127524
-0.01656928,0.005150536
-0.009285145,0.005062763
-0.003769442,0.002136542
-0.003262509,0.003063103
-0.00182352,0.004042698
